""	"node"	"mean_time"	"mean_lower"	"mean_upper"	"prob"
"1"	15	266.51954013	240.640378294825	266.999999999882	1
"2"	16	238.46707770775	208.6500440026	265.701582250393	1
"3"	17	200.634189712	168.51343474845	239.1810801391	1
"4"	18	195.86319772225	161.22119857015	238.128087729112	1
"5"	19	85.157621064	85.000000000775	114.805227917087	1
"6"	20	14.7736094305	8.423046992625	26.2466200848867	1
"7"	21	23.4130622985	14.830862443075	37.1868753131	1
"8"	22	114.70374328475	88.69989845385	148.767594667143	1
"9"	23	238.40764010325	203.896201645925	266.293724262058	1
"10"	24	184.38117136975	148.8217364445	228.955188115585	1
"11"	25	177.45480761375	140.347924831247	224.940575697073	1
"12"	26	67.40038907025	48.3108731768975	94.465393920562	1
"13"	27	144.8373371185	109.380322650075	192.646099119342	1
